track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
hey woo,loon,0.852,0.933,11,-5.494,1,0.0968,0.0166,3.34e-06,0.514,0.877,104.993,not_hot,4PiLbvpOPhT5s5hX5YpxvN,spotify:track:4PiLbvpOPhT5s5hX5YpxvN,https://api.spotify.com/v1/tracks/4PiLbvpOPhT5s5hX5YpxvN,https://api.spotify.com/v1/audio-analysis/4PiLbvpOPhT5s5hX5YpxvN,217133,4
how i remember you,michael franks,0.619,0.184,0,-16.743,1,0.0313,0.82,5.85e-06,0.0906,0.272,96.996,not_hot,5kHvcG1X7sSnU2V3PDo72z,spotify:track:5kHvcG1X7sSnU2V3PDo72z,https://api.spotify.com/v1/tracks/5kHvcG1X7sSnU2V3PDo72z,https://api.spotify.com/v1/audio-analysis/5kHvcG1X7sSnU2V3PDo72z,311733,4
this beautiful life,the dear hunter,0.567,0.729,9,-6.218,0,0.0461,0.0854,6.82e-06,0.825,0.392,130.179,not_hot,68j5fpsgMCHIx7BX0Y9VLX,spotify:track:68j5fpsgMCHIx7BX0Y9VLX,https://api.spotify.com/v1/tracks/68j5fpsgMCHIx7BX0Y9VLX,https://api.spotify.com/v1/audio-analysis/68j5fpsgMCHIx7BX0Y9VLX,245187,3
rain,breaking benjamin,0.618,0.317,0,-9.835,1,0.0278,0.561,0.0,0.102,0.372,124.826,not_hot,2ehkJlAysINP3czoqaklyT,spotify:track:2ehkJlAysINP3czoqaklyT,https://api.spotify.com/v1/tracks/2ehkJlAysINP3czoqaklyT,https://api.spotify.com/v1/audio-analysis/2ehkJlAysINP3czoqaklyT,205240,4
violets for your furs,billie holiday,0.259,0.204,10,-17.525,1,0.0386,0.784,8.65e-05,0.363,0.334,173.14,not_hot,78bQ9c4Cu0FFrQXYUVJ41z,spotify:track:78bQ9c4Cu0FFrQXYUVJ41z,https://api.spotify.com/v1/tracks/78bQ9c4Cu0FFrQXYUVJ41z,https://api.spotify.com/v1/audio-analysis/78bQ9c4Cu0FFrQXYUVJ41z,204027,3
funkentown,slave,0.78,0.525,9,-14.89,1,0.0598,0.0575,0.000344,0.238,0.532,101.074,not_hot,7MVRQbEaJQHSdXSp7lHndP,spotify:track:7MVRQbEaJQHSdXSp7lHndP,https://api.spotify.com/v1/tracks/7MVRQbEaJQHSdXSp7lHndP,https://api.spotify.com/v1/audio-analysis/7MVRQbEaJQHSdXSp7lHndP,226000,4
three time loser,bonnie raitt,0.399,0.677,11,-12.532,1,0.0735,0.397,0.161,0.375,0.891,123.311,not_hot,0RfPgYzVnZSmaJNWzg10OP,spotify:track:0RfPgYzVnZSmaJNWzg10OP,https://api.spotify.com/v1/tracks/0RfPgYzVnZSmaJNWzg10OP,https://api.spotify.com/v1/audio-analysis/0RfPgYzVnZSmaJNWzg10OP,196000,4
your cheatin' heart,fats domino,0.604,0.507,0,-12.948,1,0.0308,0.95,0.0905,0.268,0.673,118.289,not_hot,2skjVcEWryuLn5fhON3LvJ,spotify:track:2skjVcEWryuLn5fhON3LvJ,https://api.spotify.com/v1/tracks/2skjVcEWryuLn5fhON3LvJ,https://api.spotify.com/v1/audio-analysis/2skjVcEWryuLn5fhON3LvJ,207080,1
matters of the heart,tracy chapman,0.674,0.423,9,-11.799,1,0.0305,0.556,0.000533,0.276,0.749,115.222,not_hot,5DPH67FwVR6y2LwFHKfFpB,spotify:track:5DPH67FwVR6y2LwFHKfFpB,https://api.spotify.com/v1/tracks/5DPH67FwVR6y2LwFHKfFpB,https://api.spotify.com/v1/audio-analysis/5DPH67FwVR6y2LwFHKfFpB,419973,4
runaway,nuyorican soul,0.759,0.788,0,-9.188,1,0.0514,0.00485,0.0575,0.294,0.689,110.021,not_hot,5mL3zJy9Q8yOGU8nsq4uP3,spotify:track:5mL3zJy9Q8yOGU8nsq4uP3,https://api.spotify.com/v1/tracks/5mL3zJy9Q8yOGU8nsq4uP3,https://api.spotify.com/v1/audio-analysis/5mL3zJy9Q8yOGU8nsq4uP3,473693,4
